status,verified_comp,title,author,genre_text,remarks,similarities,liked,disliked,finished_at
Read,0,A Lady's Guide to Fortune-Hunting,Sophie Irwin,"Romance, Historical Fiction",A bit too event forward. But very Regency authentic + love the language. Needs more interiority,"Humour, Period authenticity","Humour
Period authenticity
Language","Too event forward.
Insufficient interiority",
Read,0,The Chemistry of Familiar Objects,Alexandra Vasti,"Romance, Historical Fiction","Not very period authentic. Fast paced. Storyline isn't super realistic. It's more of a ""fun"" read than a serious work. (Steam level Open door, explicit). Smaller cast for novella. Also three intimate scenes for a novella",Maybe only the premise of scientific concepts,"Fun read
Really like the hero + his sensitivity with the children's books etc","Scientific concepts not fully utilised (can tell that the author is not a scientist haha. it's all quite shallow)
Felt like modern people in period costumes (but apparently it's how the author makes Regency Romance accessible)
Language too modern",
Read,0,Forever your Rogue,Erin Langston,"Romance, Historical Fiction","Pacing can be a bit slow. Interiority quite okay so far.
The beginning feelsl like slow pacing for the sake of slow pacing (slow burn)
Apart from the first intimate scene, the rest feel very muted to me. Which is strange, meaning the slow burn didn't actually achieve what it set out to achieve. But maybe it's because I read this after Vasti, and that was a strong contender.
I dislike the end it just wrapped up the whole ""Nate in jail"" piece too easily",Interiority focus,Interiority,"Not very economical with language
Language too modern.
Use of ""old terms"" feel very deliberate / contrived. Perhaps has to do with consistency. It mixes with modern language
I don't like ""Raymond coming to save the day""
Also did not address ""How can the evidence be admitted for the court case if it was retrieved through shady means""",2026-02-15
Read,0,The Runaway Heiress,Emma Orchard,"Romance, Historical Fiction","Oh my god. It is so bad. So draggy. Plot is weak / contrived. The first 3 chapters (maybe) were good. Then it devolved into too much interiority. Tolerated it up to the Wedding, and looks like there's half a book left. And it's a whole draggy plot that almost became a DNF for me.","Flow / Pacing (at the beginning). Afterwards it becomes draggy with too much interiority, not padded by any external cues.","Language (so far)
Period authenticity","Dialogue can be a little stiff
TOO mUCH INTERIORITY! A whole chapter???
Head hopping
Weak plot!!!",2026-02-19
Read,0,Normal People,Sally Rooney,"Literature, Romance, Contemporary",I really like this. Cool use of tenses and chapter names to indicate time. Realistic characters. Only that the themes are quite dark to use for comp.,Interiority,"Cool use of tenses
Cool experimental structure / formatting.
Pretty well written!","Actually not much! The characters are annoying yes, but it means the author did a good job. Maybe the ending was not satisfying (kind of like ok... and?) but I suppose it could be intended as ""realism"" where no realistic love story ends in a very fulfilling HEA",2026-02-25
Read,0,Lessons in Chemistry,Bonnie Garmus,Historical Fiction (1950s/1960s),"This is so good! The pace stays really fast esp at the beginning. I love the writing from Six-Thirty's POV.
Although a big diff is that the romance arc ends in the first third, instead of carrying over
I'm not sure of the ""Rowing"" theme yet. So far I feel like it can be easily replaced with any other hobby, but maybe because the author is a rower, it made sense to pick something she's familiar with. It will be cool if there's some super cool link at the end
Ok I guess the rowing is such that they can find Calvin","Humour
Interiority + pacing
Feminist themes","Really interesting that they maxed out on the capabilities of 3rd person -- very cool writing from Six-Thirty's POV
Authenticity of the setting / realism. Chem themes are done well and well researched (unlike Vasti)","Head-hopping -- unconventional but it does seem to work for some reason. It's headhopping done well?
Written in a very ""TV serial"" manner and untraditional. Sometimes certain scenes are just 2-3 lines of dialogue. There's also a lot of switching between scenes ",2026-03-08
Read,1,"(COMP)
The Girl in his Shadow",Audrey Blake,Historical Fiction (Victorian),"Really like the writing so far! A little gory, but it's a book on surgery after all. Romance is really slow burn

Ahhh this is a REALLY GOOD COMP FOR ANTIPHASE! Strong STEM girly + romantic arc without HEA. Though Antiphase fronts the romance more","Interiority
Feminist + STEM themes
Non-HEA + Romantic arc","Very well written Historical Fiction. Stands up to Sophie Irwin, but is non-Romance.
Very well researched
Period appropriate language
","A little slow sometimes, plot not super exciting
Daniel is not a very compelling Male Protag. As in you can't really grasp the romantic development, except that they are in close proximity + respect each other's skills",2026-03-14
Reading,0,How to End a Love Story,Yulin Kuang,"Romance, Contemporary",,,,,
DNF,0,Intimacies,Katie Kitamura,Contemporary,Will be a good example of how Dutch env is written in english!,,,,
Want to Read,0,I Hope This Finds You Well,Natalie Sue,"Romance, Contemporary",,,,,
