category,title,reward_eur,kind,metric_type,target_value,is_repeatable,status,completed_at,notes
Structural Revision,Chapter 1 - Medium revision,20,manual,manual,,0,earned,2026-03-02,
Structural Revision,Chapter 9 - Large structural overhaul,30,manual,manual,,0,pending,,
Structural Revision,Chapter 8.5 - Medium revision,15,manual,manual,,0,earned,2026-03-21,
Structural Revision,Chapter 6.5 - Medium revision,15,manual,manual,,0,earned,2026-02-16,
Structural Revision,Chapter 7 - large revision,25,manual,manual,,0,earned,2026-02-23,
Structural Revision,Chapter 8 - Medium to large revision,15,manual,manual,,0,earned,2026-03-15,
Structural Revision,3 chapters completed (from list above) - Bonus,25,manual,manual,,0,earned,2026-03-02,
Structural Revision,"All listed chapters completed (1, 9, 8.5, 6.5, 7, 8)",25,manual,manual,,0,pending,,
Structural Revision,Chapter 9.5 (new: meeting + argument adj + apology letter),25,manual,manual,,0,pending,,
Structural Revision,Chapter 10 (waits + family dinner + Hyde Park integration),20,manual,manual,,0,pending,,
Structural Revision,Chapter 10.5 (new: Nathaniel agony + Josephine HTHT + ring),25,manual,manual,,0,pending,,
Structural Revision,Chapter 11 (revision: overheard + run sequence),15,manual,manual,,0,pending,,
Structural Revision,"All scene-development chapters completed (9.5, 10, 10.5, 11)",20,manual,manual,,0,pending,,
Word Count,"5,000 cumulative words changed",10,auto,cumulative_abs_words,5000,0,earned,2026-02-12,
Word Count,"10,000 cumulative words changed",15,auto,cumulative_abs_words,10000,0,earned,2026-02-16,
Word Count,"20,000 cumulative words changed",25,auto,cumulative_abs_words,20000,0,pending,,
Major Milestone,5000 Word Submission for PWA Novel Beginnings,40,manual,manual,,0,earned,2026-03-22,
Major Milestone,Draft 2 manuscript read through,40,manual,manual,,0,pending,,
Major Milestone,Character threading read through,40,manual,manual,,0,pending,,
Major Milestone,Beta draft ready,50,manual,manual,,0,pending,,
Major Milestone,Query package drafted,50,manual,manual,,0,pending,,
Major Milestone,First query sent,100,manual,manual,,0,pending,,
Reading,10 books completed in 2026 - Bonus,10,auto,books_finished,10,0,pending,,
Reading,20 books completed in 2026 - Bonus,30,auto,books_finished,20,0,pending,,
Consistency,3 consecutive editing days,5,auto,editing_streak,3,1,pending,,
Consistency,5 consecutive editing days (streak resets),10,auto,editing_streak,5,1,pending,,
Consistency,15 total editing days in a month (20/03 - 20/04),20,auto,editing_days_in_cycle,15,1,pending,,
Reading,Finish one novel,10,auto,books_finished,1,1,pending,,
Reading,Finish three novels a month,15,auto,novels_in_cycle,3,1,pending,,
